,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
119191,546533,20886,BOX OF 9 PEBBLE CANDLES,12,3/14/2011 13:53,1.95,15388.0,Canada
119192,546533,79030D,"TUMBLER, BAROQUE",6,3/14/2011 13:53,1.65,15388.0,Canada
119193,546533,21132,SILVER STANDING GNOME   ,4,3/14/2011 13:53,4.25,15388.0,Canada
119194,546533,84879,ASSORTED COLOUR BIRD ORNAMENT,8,3/14/2011 13:53,1.69,15388.0,Canada
119195,546533,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,3/14/2011 13:53,0.65,15388.0,Canada
119196,546533,85116,BLACK CANDELABRA T-LIGHT HOLDER,6,3/14/2011 13:53,2.1,15388.0,Canada
119197,546533,71459,HANGING JAM JAR T-LIGHT HOLDER,12,3/14/2011 13:53,0.85,15388.0,Canada
119198,546533,21136,PAINTED METAL PEARS ASSORTED,8,3/14/2011 13:53,1.69,15388.0,Canada
119199,546533,21622,VINTAGE UNION JACK CUSHION COVER,4,3/14/2011 13:53,4.95,15388.0,Canada
119200,546533,79000,MOROCCAN TEA GLASS,12,3/14/2011 13:53,0.85,15388.0,Canada
174045,551736,37370,RETRO COFFEE MUGS ASSORTED,504,5/4/2011 10:47,1.06,17443.0,Canada
232459,557322,22417,PACK OF 60 SPACEBOY CAKE CASES,24,6/20/2011 9:04,0.55,17444.0,Canada
232460,557322,22951,60 CAKE CASES DOLLY GIRL DESIGN,24,6/20/2011 9:04,0.55,17444.0,Canada
232461,557322,22939,APRON APPLE DELIGHT,4,6/20/2011 9:04,4.95,17444.0,Canada
232462,557322,23184,BULL DOG BOTTLE OPENER,4,6/20/2011 9:04,4.95,17444.0,Canada
232463,557322,85232D,SET/3 DECOUPAGE STACKING TINS,3,6/20/2011 9:04,4.95,17444.0,Canada
232464,557322,22626,BLACK KITCHEN SCALES,2,6/20/2011 9:04,8.5,17444.0,Canada
232465,557322,22635,CHILDS BREAKFAST SET DOLLY GIRL ,2,6/20/2011 9:04,9.95,17444.0,Canada
232466,557322,22634,CHILDS BREAKFAST SET SPACEBOY ,2,6/20/2011 9:04,9.95,17444.0,Canada
232467,557322,23158,SET OF 5 LUCKY CAT MAGNETS ,12,6/20/2011 9:04,2.08,17444.0,Canada
232468,557322,22472,TV DINNER TRAY DOLLY GIRL,3,6/20/2011 9:04,4.95,17444.0,Canada
232469,557322,22471,TV DINNER TRAY AIR HOSTESS ,3,6/20/2011 9:04,4.95,17444.0,Canada
232470,557322,22474,SPACEBOY TV DINNER TRAY,3,6/20/2011 9:04,4.95,17444.0,Canada
232471,557322,21918,SET 12 KIDS COLOUR  CHALK STICKS,24,6/20/2011 9:04,0.42,17444.0,Canada
232472,557322,21917,SET 12 KIDS  WHITE CHALK STICKS,24,6/20/2011 9:04,0.42,17444.0,Canada
232473,557322,22992,REVOLVER WOODEN RULER ,12,6/20/2011 9:04,1.95,17444.0,Canada
232474,557322,22561,WOODEN SCHOOL COLOURING SET,12,6/20/2011 9:04,1.65,17444.0,Canada
232475,557322,10133,COLOURING PENCILS BROWN TUBE,20,6/20/2011 9:04,0.85,17444.0,Canada
232476,557322,10135,COLOURING PENCILS BROWN TUBE,20,6/20/2011 9:04,1.25,17444.0,Canada
232477,557322,22491,PACK OF 12 COLOURED PENCILS,12,6/20/2011 9:04,0.85,17444.0,Canada
232478,557322,22489,PACK OF 12 TRADITIONAL CRAYONS,24,6/20/2011 9:04,0.42,17444.0,Canada
232479,557322,16161G,WRAP BAD HAIR DAY,25,6/20/2011 9:04,0.1,17444.0,Canada
232480,557322,16156L,WRAP CAROUSEL,25,6/20/2011 9:04,0.42,17444.0,Canada
232481,557322,16161P,WRAP ENGLISH ROSE ,25,6/20/2011 9:04,0.42,17444.0,Canada
232482,557322,22045,SPACEBOY GIFT WRAP,25,6/20/2011 9:04,0.42,17444.0,Canada
232483,557322,22704,WRAP RED APPLES ,25,6/20/2011 9:04,0.42,17444.0,Canada
232484,557322,22705,WRAP GREEN PEARS ,25,6/20/2011 9:04,0.42,17444.0,Canada
232485,557322,22986,GINGHAM ROSE WRAP,25,6/20/2011 9:04,0.42,17444.0,Canada
232486,557322,23231,WRAP DOILEY DESIGN,25,6/20/2011 9:04,0.42,17444.0,Canada
232487,557322,23191,BUNDLE OF 3 RETRO NOTE BOOKS,12,6/20/2011 9:04,1.65,17444.0,Canada
232488,557322,23192,BUNDLE OF 3 ALPHABET EXERCISE BOOKS,12,6/20/2011 9:04,1.65,17444.0,Canada
232489,557322,23190,BUNDLE OF 3 SCHOOL EXERCISE BOOKS  ,12,6/20/2011 9:04,1.65,17444.0,Canada
