,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
9783,537218,85016,SET OF 6 VINTAGE NOTELETS KIT,6,12/5/2010 15:46,2.55,12763.0,Japan
9784,537218,21506,"FANCY FONT BIRTHDAY CARD, ",12,12/5/2010 15:46,0.42,12763.0,Japan
9785,537218,22716,CARD CIRCUS PARADE,12,12/5/2010 15:46,0.42,12763.0,Japan
9786,537218,22983,CARD BILLBOARD FONT,12,12/5/2010 15:46,0.42,12763.0,Japan
9787,537218,22030,SWALLOWS GREETING CARD,12,12/5/2010 15:46,0.42,12763.0,Japan
9788,537218,22984,CARD GINGHAM ROSE ,12,12/5/2010 15:46,0.42,12763.0,Japan
9789,537218,85015,SET OF 12  VINTAGE POSTCARD SET,6,12/5/2010 15:46,2.55,12763.0,Japan
9790,537218,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,12,12/5/2010 15:46,1.69,12763.0,Japan
9791,537218,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,12,12/5/2010 15:46,0.85,12763.0,Japan
9792,537218,84520B,PACK 20 ENGLISH ROSE PAPER NAPKINS,12,12/5/2010 15:46,0.85,12763.0,Japan
9793,537218,21210,SET OF 72 RETROSPOT PAPER  DOILIES,24,12/5/2010 15:46,1.45,12763.0,Japan
9794,537218,84988,SET OF 72 PINK HEART PAPER DOILIES,24,12/5/2010 15:46,1.45,12763.0,Japan
9795,537218,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,16,12/5/2010 15:46,3.75,12763.0,Japan
9796,537218,22750,FELTCRAFT PRINCESS LOLA DOLL,8,12/5/2010 15:46,3.75,12763.0,Japan
9797,537218,22751,FELTCRAFT PRINCESS OLIVIA DOLL,8,12/5/2010 15:46,3.75,12763.0,Japan
9798,537218,22940,FELTCRAFT CHRISTMAS FAIRY,8,12/5/2010 15:46,4.25,12763.0,Japan
19871,537899,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1488,12/9/2010 10:44,2.55,12755.0,Japan
25748,538397,22961,JAM MAKING SET PRINTED,60,12/12/2010 11:44,1.45,12753.0,Japan
25749,538397,85032B,BLOSSOM IMAGES GIFT WRAP SET,48,12/12/2010 11:44,2.1,12753.0,Japan
25750,538397,85032C,CURIOUS IMAGES GIFT WRAP SET,48,12/12/2010 11:44,2.1,12753.0,Japan
25751,538397,85032A,ROMANTIC IMAGES GIFT WRAP SET,48,12/12/2010 11:44,2.1,12753.0,Japan
25752,538397,22857,ASSORTED EASTER GIFT TAGS,48,12/12/2010 11:44,0.85,12753.0,Japan
25753,538397,85017B,ENVELOPE 50 BLOSSOM IMAGES,48,12/12/2010 11:44,0.85,12753.0,Japan
25754,538397,22024,RAINY LADIES BIRTHDAY CARD,72,12/12/2010 11:44,0.36,12753.0,Japan
25755,538397,21507,"ELEPHANT, BIRTHDAY CARD, ",72,12/12/2010 11:44,0.36,12753.0,Japan
25756,538397,22025,RING OF ROSES BIRTHDAY CARD,72,12/12/2010 11:44,0.36,12753.0,Japan
25757,538397,22028,PENNY FARTHING BIRTHDAY CARD,72,12/12/2010 11:44,0.36,12753.0,Japan
25758,538397,22718,CARD CAT AND TREE ,72,12/12/2010 11:44,0.36,12753.0,Japan
25759,538397,21218,RED SPOTTY BISCUIT TIN,24,12/12/2010 11:44,3.25,12753.0,Japan
25760,538397,22073,RED RETROSPOT STORAGE JAR,16,12/12/2010 11:44,3.39,12753.0,Japan
25761,538397,22858,EASTER TIN KEEPSAKE,42,12/12/2010 11:44,1.65,12753.0,Japan
25762,538397,22859,EASTER TIN BUNNY BOUQUET,60,12/12/2010 11:44,1.65,12753.0,Japan
25763,538397,22861,EASTER TIN CHICKS IN GARDEN,30,12/12/2010 11:44,1.65,12753.0,Japan
25764,538397,21380,WOODEN HAPPY BIRTHDAY GARLAND,24,12/12/2010 11:44,2.95,12753.0,Japan
25765,538397,21381,MINI WOODEN HAPPY BIRTHDAY GARLAND,36,12/12/2010 11:44,1.69,12753.0,Japan
25766,538397,47566,PARTY BUNTING,20,12/12/2010 11:44,4.65,12753.0,Japan
25767,538397,22896,PEG BAG APPLES DESIGN,50,12/12/2010 11:44,2.1,12753.0,Japan
25768,538397,21155,RED RETROSPOT PEG BAG,60,12/12/2010 11:44,2.1,12753.0,Japan
25769,538397,22567,20 DOLLY PEGS RETROSPOT,96,12/12/2010 11:44,1.06,12753.0,Japan
25770,538397,22558,CLOTHES PEGS RETROSPOT PACK 24 ,96,12/12/2010 11:44,1.25,12753.0,Japan
